Route,Fare
Dr. Santos-Ninoy Aquino,16
Dr. Santos-PITX,20
Dr. Santos-MIA Road,22
Dr. Santos-Redemptorist-Aseana,23
Dr. Santos-Baclaran,26
Dr. Santos-EDSA,27
Dr. Santos-Libertad,28
Dr. Santos-Gil Puyat,29
Dr. Santos-Vito Cruz,31
Dr. Santos-Quirino,32
Dr. Santos-Pedro Gil,33
Dr. Santos-UN Avenue,34
Dr. Santos-Central,36
Dr. Santos-Carriedo,37
Dr. Santos-D. Jose,38
Dr. Santos-Bambang,39
Dr. Santos-Tayuman,40
Dr. Santos-Blumentritt,41
Dr. Santos-Abad Santos,42
Dr. Santos-R. Papa,43
Dr. Santos-5th Avenue,45
Dr. Santos-Monumento,46
Dr. Santos-Balintawak,49
Dr. Santos-Fernando Poe Jr.,52
Ninoy Aquino-Dr. Santos,19
Ninoy Aquino-PITX,18
Ninoy Aquino-MIA Road,20
Ninoy Aquino-Redemptorist-Aseana,21
Ninoy Aquino-Baclaran,23
Ninoy Aquino-EDSA,24
Ninoy Aquino-Libertad,26
Ninoy Aquino-Gil Puyat,27
Ninoy Aquino-Vito Cruz,28
Ninoy Aquino-Quirino,29
Ninoy Aquino-Pedro Gil,31
Ninoy Aquino-UN Avenue,32
Ninoy Aquino-Central,33
Ninoy Aquino-Carriedo,35
Ninoy Aquino-D. Jose,36
Ninoy Aquino-Bambang,36
Ninoy Aquino-Tayuman,37
Ninoy Aquino-Blumentritt,38
Ninoy Aquino-Abad Santos,40
Ninoy Aquino-R. Papa,41
Ninoy Aquino-5th Avenue,42
Ninoy Aquino-Monumento,44
Ninoy Aquino-Balintawak,47
Ninoy Aquino-Fernando Poe Jr.,50
PITX-Dr. Santos,20
PITX-Ninoy Aquino,18
PITX-MIA Road,16
PITX-Redemptorist-Aseana,19
PITX-Baclaran,22
PITX-EDSA,22
PITX-Libertad,24
PITX-Gil Puyat,25
PITX-Vito Cruz,27
PITX-Quirino,28
PITX-Pedro Gil,29
PITX-UN Avenue,30
PITX-Central,32
PITX-Carriedo,33
PITX-D. Jose,34
PITX-Bambang,35
PITX-Tayuman,36
PITX-Blumentritt,37
PITX-Abad Santos,38
PITX-R. Papa,39
PITX-5th Avenue,40
PITX-Monumento,42
PITX-Balintawak,45
PITX-Fernando Poe Jr.,48
MIA Road-Dr. Santos,22
MIA Road-Ninoy Aquino,20
MIA Road-PITX,18
MIA Road-Redemptorist-Aseana,17
MIA Road-Baclaran,20
MIA Road-EDSA,20
MIA Road-Libertad,22
MIA Road-Gil Puyat,23
MIA Road-Vito Cruz,25
MIA Road-Quirino,26
MIA Road-Pedro Gil,27
MIA Road-UN Avenue,28
MIA Road-Central,30
MIA Road-Carriedo,31
MIA Road-D. Jose,32
MIA Road-Bambang,33
MIA Road-Tayuman,34
MIA Road-Blumentritt,35
MIA Road-Abad Santos,36
MIA Road-R. Papa,37
MIA Road-5th Avenue,38
MIA Road-Monumento,40
MIA Road-Balintawak,43
MIA Road-Fernando Poe Jr.,46
Redemptorist-Aseana-Dr. Santos,23
Redemptorist-Aseana-Ninoy Aquino,21
Redemptorist-Aseana-PITX,19
Redemptorist-Aseana-MIA Road,17
Redemptorist-Aseana-Baclaran,18
Redemptorist-Aseana-EDSA,19
Redemptorist-Aseana-Libertad,21
Redemptorist-Aseana-Gil Puyat,22
Redemptorist-Aseana-Vito Cruz,23
Redemptorist-Aseana-Quirino,25
Redemptorist-Aseana-Pedro Gil,26
Redemptorist-Aseana-UN Avenue,27
Redemptorist-Aseana-Central,29
Redemptorist-Aseana-Carriedo,30
Redemptorist-Aseana-D. Jose,31
Redemptorist-Aseana-Bambang,32
Redemptorist-Aseana-Tayuman,33
Redemptorist-Aseana-Blumentritt,34
Redemptorist-Aseana-Abad Santos,35
Redemptorist-Aseana-R. Papa,36
Redemptorist-Aseana-5th Avenue,37
Redemptorist-Aseana-Monumento,39
Redemptorist-Aseana-Balintawak,42
Redemptorist-Aseana-Fernando Poe Jr.,45
Baclaran-Dr. Santos,26
Baclaran-Ninoy Aquino,23
Baclaran-PITX,22
Baclaran-MIA Road,20
Baclaran-Redemptorist-Aseana,18
Baclaran-EDSA,17
Baclaran-Libertad,19
Baclaran-Gil Puyat,20
Baclaran-Vito Cruz,21
Baclaran-Quirino,22
Baclaran-Pedro Gil,24
Baclaran-UN Avenue,25
Baclaran-Central,27
Baclaran-Carriedo,28
Baclaran-D. Jose,29
Baclaran-Bambang,30
Baclaran-Tayuman,30
