Route,Fare
Dr. Santos-Ninoy Aquino,20
Dr. Santos-PITX,20
Dr. Santos-MIA Road,25
Dr. Santos-Redemptorist-Aseana,25
Dr. Santos-Baclaran,30
Dr. Santos-EDSA,30
Dr. Santos-Libertad,30
Dr. Santos-Gil Puyat,30
Dr. Santos-Vito Cruz,35
Dr. Santos-Quirino,35
Dr. Santos-Pedro Gil,35
Dr. Santos-UN Avenue,35
Dr. Santos-Central,40
Dr. Santos-Carriedo,40
Dr. Santos-D. Jose,40
Dr. Santos-Bambang,40
Dr. Santos-Tayuman,40
Dr. Santos-Blumentritt,45
Dr. Santos-Abad Santos,45
Dr. Santos-R. Papa,45
Dr. Santos-5th Avenue,45
Dr. Santos-Monumento,50
Dr. Santos-Balintawak,50
Dr. Santos-Fernando Poe Jr.,55
Ninoy Aquino-Dr. Santos,20
Ninoy Aquino-PITX,20
Ninoy Aquino-MIA Road,20
Ninoy Aquino-Redemptorist-Aseana,25
Ninoy Aquino-Baclaran,25
Ninoy Aquino-EDSA,25
Ninoy Aquino-Libertad,30
Ninoy Aquino-Gil Puyat,30
Ninoy Aquino-Vito Cruz,30
Ninoy Aquino-Quirino,35
Ninoy Aquino-Pedro Gil,35
Ninoy Aquino-UN Avenue,35
Ninoy Aquino-Central,35
Ninoy Aquino-Carriedo,35
Ninoy Aquino-D. Jose,40
Ninoy Aquino-Bambang,40
Ninoy Aquino-Tayuman,40
Ninoy Aquino-Blumentritt,40
Ninoy Aquino-Abad Santos,45
Ninoy Aquino-R. Papa,45
Ninoy Aquino-5th Avenue,45
Ninoy Aquino-Monumento,45
Ninoy Aquino-Balintawak,50
Ninoy Aquino-Fernando Poe Jr.,50
PITX-Dr. Santos,20
PITX-Ninoy Aquino,20
PITX-MIA Road,20
PITX-Redemptorist-Aseana,20
PITX-Baclaran,25
PITX-EDSA,25
PITX-Libertad,25
PITX-Gil Puyat,25
PITX-Vito Cruz,30
PITX-Quirino,30
PITX-Pedro Gil,30
PITX-UN Avenue,30
PITX-Central,35
PITX-Carriedo,35
PITX-D. Jose,35
PITX-Bambang,35
PITX-Tayuman,40
PITX-Blumentritt,40
PITX-Abad Santos,40
PITX-R. Papa,40
PITX-5th Avenue,40
PITX-Monumento,45
PITX-Balintawak,45
PITX-Fernando Poe Jr.,50
MIA Road-Dr. Santos,25
MIA Road-Ninoy Aquino,20
MIA Road-PITX,20
MIA Road-Redemptorist-Aseana,20
MIA Road-Baclaran,20
MIA Road-EDSA,20
MIA Road-Libertad,25
MIA Road-Gil Puyat,25
MIA Road-Vito Cruz,25
MIA Road-Quirino,30
MIA Road-Pedro Gil,30
